year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,fire_on_peatlands_hectares
"2015","INDONESIA","ID","BANJAR (KOTA)","ID-3279","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","BANJARMASIN (KOTA)","ID-6371","KALIMANTAN SELATAN","ID-63","0"
"2015","INDONESIA","ID","BANJARNEGARA","ID-3304","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","BANTAENG","ID-7303","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","BANTUL","ID-3402","D I YOGYAKARTA","ID-34","0"
"2015","INDONESIA","ID","BANYUASIN","ID-1607","SUMATERA SELATAN","ID-16","6221.71129411863"
"2015","INDONESIA","ID","BANYUMAS","ID-3302","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","BANYUWANGI","ID-3510","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","BARITO KUALA","ID-6304","KALIMANTAN SELATAN","ID-63","500.497411764647"
"2015","INDONESIA","ID","BARITO SELATAN","ID-6204","KALIMANTAN TENGAH","ID-62","3185.72752941171"
"2015","INDONESIA","ID","BARITO TIMUR","ID-6212","KALIMANTAN TENGAH","ID-62","1414.99694117656"
"2015","INDONESIA","ID","BARITO UTARA","ID-6205","KALIMANTAN TENGAH","ID-62","0"
"2015","INDONESIA","ID","BARRU","ID-7310","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","BATAM (KOTA)","ID-2171","KEP. RIAU","ID-21","0"
"2015","INDONESIA","ID","BATANG","ID-3325","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","BATANG HARI","ID-1504","JAMBI","ID-15","39891.5128235799"
"2015","INDONESIA","ID","BATU BARA","ID-1219","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","BAU-BAU (KOTA)","ID-7472","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","BEKASI","ID-3216","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","BEKASI (KOTA)","ID-3275","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","BELITUNG","ID-1902","KEP. BANGKA BELITUNG","ID-19","0"
"2015","INDONESIA","ID","BELITUNG TIMUR","ID-1906","KEP. BANGKA BELITUNG","ID-19","0"
"2015","INDONESIA","ID","BELU","ID-5306","NUSA TENGGARA TIMUR","ID-53","0"
"2015","INDONESIA","ID","BENER MERIAH","ID-1117","ACEH","ID-11","0"
"2015","INDONESIA","ID","BENGKALIS","ID-1408","RIAU","ID-14","42331.0277647287"
"2015","INDONESIA","ID","BENGKAYANG","ID-6102","KALIMANTAN BARAT","ID-61","38.07"
"2015","INDONESIA","ID","BENGKULU (KOTA)","ID-1771","BENGKULU","ID-17","0"
"2015","INDONESIA","ID","BENGKULU SELATAN","ID-1701","BENGKULU","ID-17","0"
"2015","INDONESIA","ID","BENGKULU TENGAH","ID-1709","BENGKULU","ID-17","0"
"2015","INDONESIA","ID","BENGKULU UTARA","ID-1703","BENGKULU","ID-17","0"
"2015","INDONESIA","ID","BERAU","ID-6405","KALIMANTAN TIMUR","ID-64","27.54"
"2015","INDONESIA","ID","BIAK NUMFOR","ID-9409","PAPUA","ID-94","0"
"2015","INDONESIA","ID","BIMA","ID-5206","NUSA TENGGARA BARAT","ID-52","0"
"2015","INDONESIA","ID","BINJAI (KOTA)","ID-1276","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","BINTAN","ID-2102","KEP. RIAU","ID-21","0"
"2015","INDONESIA","ID","BIREUEN","ID-1110","ACEH","ID-11","0"
"2015","INDONESIA","ID","BITUNG (KOTA)","ID-7172","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","BLITAR","ID-3505","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","BLORA","ID-3316","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","BOALEMO","ID-7501","GORONTALO","ID-75","0"
"2015","INDONESIA","ID","BOGOR","ID-3201","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","BOGOR (KOTA)","ID-3271","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","BOJONEGORO","ID-3522","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","BOLAANG MONGONDOW","ID-7101","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","BOLAANG MONGONDOW SELATAN","ID-7110","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","BOLAANG MONGONDOW TIMUR","ID-7111","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","BOLAANG MONGONDOW UTARA","ID-7107","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","BOMBANA","ID-7406","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","BONDOWOSO","ID-3511","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","BONE","ID-7311","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","BONE BOLANGO","ID-7504","GORONTALO","ID-75","0"
"2015","INDONESIA","ID","BOVEN DIGOEL","ID-9413","PAPUA","ID-94","609.251294117619"
"2015","INDONESIA","ID","BOYOLALI","ID-3309","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","BREBES","ID-3329","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","BULELENG","ID-5108","BALI","ID-51","0"
"2015","INDONESIA","ID","BULUKUMBA","ID-7302","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","BULUNGAN","ID-6502","KALIMANTAN UTARA","ID-65","590.219999999965"
"2015","INDONESIA","ID","BUNGO","ID-1509","JAMBI","ID-15","0"
"2015","INDONESIA","ID","BUOL","ID-7207","SULAWESI TENGAH","ID-72","0"
"2015","INDONESIA","ID","BURU","ID-8104","MALUKU","ID-81","0"
"2015","INDONESIA","ID","BURU SELATAN","ID-8109","MALUKU","ID-81","0"
"2015","INDONESIA","ID","BUTON","ID-7401","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","BUTON SELATAN","ID-7415","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","BUTON TENGAH","ID-7414","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","BUTON UTARA","ID-7409","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","CIAMIS","ID-3207","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","CIANJUR","ID-3203","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","CILACAP","ID-3301","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","CILEGON (KOTA)","ID-3672","BANTEN","ID-36","0"
"2015","INDONESIA","ID","CIREBON","ID-3209","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","CIREBON (KOTA)","ID-3274","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","DAIRI","ID-1210","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","DEIYAI","ID-9436","PAPUA","ID-94","0"
"2015","INDONESIA","ID","DELI SERDANG","ID-1212","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","DEMAK","ID-3321","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","DENPASAR (KOTA)","ID-5171","BALI","ID-51","0"
"2015","INDONESIA","ID","DEPOK (KOTA)","ID-3276","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","DHARMASRAYA","ID-1311","SUMATERA BARAT","ID-13","0"
"2015","INDONESIA","ID","DOGIYAI","ID-9434","PAPUA","ID-94","0"
"2015","INDONESIA","ID","DOMPU","ID-5205","NUSA TENGGARA BARAT","ID-52","0"
"2015","INDONESIA","ID","DONGGALA","ID-7205","SULAWESI TENGAH","ID-72","0"
"2015","INDONESIA","ID","DUMAI (KOTA)","ID-1473","RIAU","ID-14","991.053882352955"
"2015","INDONESIA","ID","EMPAT LAWANG","ID-1611","SUMATERA SELATAN","ID-16","0"
"2015","INDONESIA","ID","ENDE","ID-5311","NUSA TENGGARA TIMUR","ID-53","0"
"2015","INDONESIA","ID","ENREKANG","ID-7316","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","FAKFAK","ID-9101","PAPUA BARAT","ID-91","326.696823529419"
"2015","INDONESIA","ID","FLORES TIMUR","ID-5309","NUSA TENGGARA TIMUR","ID-53","0"
"2015","INDONESIA","ID","GARUT","ID-3205","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","GAYO LUES","ID-1113","ACEH","ID-11","0"
"2015","INDONESIA","ID","GIANYAR","ID-5104","BALI","ID-51","0"
"2015","INDONESIA","ID","GORONTALO","ID-7502","GORONTALO","ID-75","0"
"2015","INDONESIA","ID","GORONTALO (KOTA)","ID-7571","GORONTALO","ID-75","0"
"2015","INDONESIA","ID","GORONTALO UTARA","ID-7505","GORONTALO","ID-75","0"
"2015","INDONESIA","ID","GOWA","ID-7306","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","GRESIK","ID-3525","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","GROBOGAN","ID-3315","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","GUNUNG KIDUL","ID-3403","D I YOGYAKARTA","ID-34","0"
"2015","INDONESIA","ID","GUNUNG MAS","ID-6211","KALIMANTAN TENGAH","ID-62","0"
"2015","INDONESIA","ID","GUNUNG SITOLI (KOTA)","ID-1278","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","HALMAHERA BARAT","ID-8201","MALUKU UTARA","ID-82","0"
"2015","INDONESIA","ID","HALMAHERA SELATAN","ID-8204","MALUKU UTARA","ID-82","0"
"2015","INDONESIA","ID","HALMAHERA TENGAH","ID-8202","MALUKU UTARA","ID-82","0"
"2015","INDONESIA","ID","HALMAHERA TIMUR","ID-8206","MALUKU UTARA","ID-82","0"
"2015","INDONESIA","ID","HALMAHERA UTARA","ID-8205","MALUKU UTARA","ID-82","0"
"2015","INDONESIA","ID","HULU SUNGAI SELATAN","ID-6306","KALIMANTAN SELATAN","ID-63","692.750823529371"
"2015","INDONESIA","ID","HULU SUNGAI TENGAH","ID-6307","KALIMANTAN SELATAN","ID-63","1020.0889411764"
"2015","INDONESIA","ID","HULU SUNGAI UTARA","ID-6308","KALIMANTAN SELATAN","ID-63","796.121294117655"
"2015","INDONESIA","ID","HUMBANG HASUNDUTAN","ID-1215","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","INDRAGIRI HILIR","ID-1403","RIAU","ID-14","12075.7454117634"
"2015","INDONESIA","ID","INDRAGIRI HULU","ID-1402","RIAU","ID-14","10118.5224705878"
"2015","INDONESIA","ID","INDRAMAYU","ID-3212","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","INTAN JAYA","ID-9435","PAPUA","ID-94","0"
"2015","INDONESIA","ID","JAKARTA BARAT (KOTA)","ID-3174","DKI JAKARTA","ID-31","0"
"2015","INDONESIA","ID","JAKARTA PUSAT (KOTA)","ID-3173","DKI JAKARTA","ID-31","0"
"2015","INDONESIA","ID","JAKARTA SELATAN (KOTA)","ID-3171","DKI JAKARTA","ID-31","0"
"2015","INDONESIA","ID","JAKARTA TIMUR (KOTA)","ID-3172","DKI JAKARTA","ID-31","0"
"2015","INDONESIA","ID","JAKARTA UTARA (KOTA)","ID-3175","DKI JAKARTA","ID-31","0"
"2015","INDONESIA","ID","JAMBI (KOTA)","ID-1571","JAMBI","ID-15","0"
"2015","INDONESIA","ID","JAYAPURA","ID-9403","PAPUA","ID-94","0"
"2015","INDONESIA","ID","JAYAPURA (KOTA)","ID-9471","PAPUA","ID-94","0"
"2015","INDONESIA","ID","JAYAWIJAYA","ID-9402","PAPUA","ID-94","0"
"2015","INDONESIA","ID","JEMBER","ID-3509","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","JEMBRANA","ID-5101","BALI","ID-51","0"
"2015","INDONESIA","ID","JENEPONTO","ID-7304","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","JEPARA","ID-3320","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","JOMBANG","ID-3517","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","KAIMANA","ID-9102","PAPUA BARAT","ID-91","0"
"2015","INDONESIA","ID","KAMPAR","ID-1406","RIAU","ID-14","4411.35105882334"
