year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,burned_areas_hectares
"2015","INDONESIA","ID","BENGKULU SELATAN","ID-1701","BENGKULU","ID-17","0"
"2015","INDONESIA","ID","BENGKULU TENGAH","ID-1709","BENGKULU","ID-17","0"
"2015","INDONESIA","ID","BENGKULU UTARA","ID-1703","BENGKULU","ID-17","49.4615294117653"
"2015","INDONESIA","ID","BERAU","ID-6405","KALIMANTAN TIMUR","ID-64","23130.5770588237"
"2015","INDONESIA","ID","BIAK NUMFOR","ID-9409","PAPUA","ID-94","0"
"2015","INDONESIA","ID","BIMA","ID-5206","NUSA TENGGARA BARAT","ID-52","0"
"2015","INDONESIA","ID","BINJAI (KOTA)","ID-1276","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","BINTAN","ID-2102","KEP. RIAU","ID-21","0"
"2015","INDONESIA","ID","BIREUEN","ID-1110","ACEH","ID-11","0"
"2015","INDONESIA","ID","BITUNG (KOTA)","ID-7172","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","BLITAR","ID-3505","JAWA TIMUR","ID-35","142.123058823531"
"2015","INDONESIA","ID","BLORA","ID-3316","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","BOALEMO","ID-7501","GORONTALO","ID-75","1216.10470588234"
"2015","INDONESIA","ID","BOGOR","ID-3201","JAWA BARAT","ID-32","183.694588235298"
"2015","INDONESIA","ID","BOGOR (KOTA)","ID-3271","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","BOJONEGORO","ID-3522","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","BOLAANG MONGONDOW","ID-7101","SULAWESI UTARA","ID-71","410.489999999971"
"2015","INDONESIA","ID","BOLAANG MONGONDOW SELATAN","ID-7110","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","BOLAANG MONGONDOW TIMUR","ID-7111","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","BOLAANG MONGONDOW UTARA","ID-7107","SULAWESI UTARA","ID-71","3899.24682352862"
"2015","INDONESIA","ID","BOMBANA","ID-7406","SULAWESI TENGGARA","ID-74","1153.94717647055"
"2015","INDONESIA","ID","BONDOWOSO","ID-3511","JAWA TIMUR","ID-35","481.413176470568"
"2015","INDONESIA","ID","BONE","ID-7311","SULAWESI SELATAN","ID-73","183.582000000004"
"2015","INDONESIA","ID","BONE BOLANGO","ID-7504","GORONTALO","ID-75","0"
