year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
"2001","INDONESIA","ID","BENGKULU SELATAN","ID-1701","BENGKULU","ID-17","36.7171764705884"
"2001","INDONESIA","ID","BENGKULU TENGAH","ID-1709","BENGKULU","ID-17","0"
"2001","INDONESIA","ID","BENGKULU UTARA","ID-1703","BENGKULU","ID-17","698.576823529426"
"2001","INDONESIA","ID","BERAU","ID-6405","KALIMANTAN TIMUR","ID-64","4335.50258823533"
"2001","INDONESIA","ID","BIAK NUMFOR","ID-9409","PAPUA","ID-94","108.357882352941"
"2001","INDONESIA","ID","BIMA","ID-5206","NUSA TENGGARA BARAT","ID-52","0"
"2001","INDONESIA","ID","BINJAI (KOTA)","ID-1276","SUMATERA UTARA","ID-12","0"
"2001","INDONESIA","ID","BINTAN","ID-2102","KEP. RIAU","ID-21","23.58"
"2001","INDONESIA","ID","BIREUEN","ID-1110","ACEH","ID-11","57.7016470588235"
"2001","INDONESIA","ID","BITUNG (KOTA)","ID-7172","SULAWESI UTARA","ID-71","0"
"2001","INDONESIA","ID","BLITAR","ID-3505","JAWA TIMUR","ID-35","7.28999999999999"
"2001","INDONESIA","ID","BLORA","ID-3316","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","BOALEMO","ID-7501","GORONTALO","ID-75","110.755411764706"
"2001","INDONESIA","ID","BOGOR","ID-3201","JAWA BARAT","ID-32","32.7585882352941"
"2001","INDONESIA","ID","BOGOR (KOTA)","ID-3271","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BOJONEGORO","ID-3522","JAWA TIMUR","ID-35","0"
"2001","INDONESIA","ID","BOLAANG MONGONDOW","ID-7101","SULAWESI UTARA","ID-71","598.585058823535"
"2001","INDONESIA","ID","BOLAANG MONGONDOW SELATAN","ID-7110","SULAWESI UTARA","ID-71","13.95"
"2001","INDONESIA","ID","BOLAANG MONGONDOW TIMUR","ID-7111","SULAWESI UTARA","ID-71","5.916"
"2001","INDONESIA","ID","BOLAANG MONGONDOW UTARA","ID-7107","SULAWESI UTARA","ID-71","206.02623529412"
"2001","INDONESIA","ID","BOMBANA","ID-7406","SULAWESI TENGGARA","ID-74","43.83"
"2001","INDONESIA","ID","BONDOWOSO","ID-3511","JAWA TIMUR","ID-35","10.62"
"2001","INDONESIA","ID","BONE","ID-7311","SULAWESI SELATAN","ID-73","0"
"2001","INDONESIA","ID","BONE BOLANGO","ID-7504","GORONTALO","ID-75","34.65"
"2001","INDONESIA","ID","BOVEN DIGOEL","ID-9413","PAPUA","ID-94","3338.17235294059"
"2001","INDONESIA","ID","BOYOLALI","ID-3309","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","BREBES","ID-3329","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","BULELENG","ID-5108","BALI","ID-51","0"
"2001","INDONESIA","ID","BULUKUMBA","ID-7302","SULAWESI SELATAN","ID-73","0"
"2001","INDONESIA","ID","BULUNGAN","ID-6502","KALIMANTAN UTARA","ID-65","4646.23729411716"
"2001","INDONESIA","ID","BUNGO","ID-1509","JAMBI","ID-15","522.674117647057"
"2001","INDONESIA","ID","BUOL","ID-7207","SULAWESI TENGAH","ID-72","854.429294117663"
"2001","INDONESIA","ID","BURU","ID-8104","MALUKU","ID-81","151.470000000003"
"2001","INDONESIA","ID","BURU SELATAN","ID-8109","MALUKU","ID-81","1.89"
"2001","INDONESIA","ID","BUTON","ID-7401","SULAWESI TENGGARA","ID-74","260.189647058827"
"2001","INDONESIA","ID","BUTON SELATAN","ID-7415","SULAWESI TENGGARA","ID-74","0"
"2001","INDONESIA","ID","BUTON TENGAH","ID-7414","SULAWESI TENGGARA","ID-74","0"
"2001","INDONESIA","ID","BUTON UTARA","ID-7409","SULAWESI TENGGARA","ID-74","54.4867058823529"
"2001","INDONESIA","ID","CIAMIS","ID-3207","JAWA BARAT","ID-32","23.3085882352941"
"2001","INDONESIA","ID","CIANJUR","ID-3203","JAWA BARAT","ID-32","66.4185882352941"
"2001","INDONESIA","ID","CILACAP","ID-3301","JAWA TENGAH","ID-33","21.2184705882353"
"2001","INDONESIA","ID","CILEGON (KOTA)","ID-3672","BANTEN","ID-36","0"
"2001","INDONESIA","ID","CIREBON","ID-3209","JAWA BARAT","ID-32","0"
