year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
"2002","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","16104.5251764705"
"2002","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","3844.3207058824"
"2002","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","2955.10376470593"
"2002","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","12418.4361176469"
"2002","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","2004.43941176472"
"2002","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","7690.97505882356"
"2003","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","5761.89317647058"
"2003","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","18.99"
"2003","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","4.77"
"2003","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","2374.84447058836"
"2003","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","0"
"2003","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","0"
"2003","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","1195.01223529413"
"2003","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","10869.2463529411"
"2003","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","214.017529411766"
"2003","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","75.5968235294117"
"2003","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","313.279764705883"
"2003","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","13760.9925882347"
"2003","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","4369.94682352946"
"2003","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","77277.9441176535"
"2003","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","7013.84435294124"
"2003","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","10423.9252941172"
"2003","INDONESIA","ID","KEP. BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","611.008235294123"
"2003","INDONESIA","ID","KEP. RIAU","ID-21","SUMATERA","ID-SM","476.906823529418"
"2003","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","531.801882352946"
"2003","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","1255.75976470589"
"2003","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","6319.56458823455"
"2003","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","286.557882352944"
"2003","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","361.076470588238"
"2003","INDONESIA","ID","PAPUA","ID-94","PAPUA","ID-PP","13525.6016470583"
"2003","INDONESIA","ID","PAPUA BARAT","ID-91","PAPUA","ID-PP","9749.81435294127"
"2003","INDONESIA","ID","RIAU","ID-14","SUMATERA","ID-SM","39976.6796470678"
