year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,natural_forest_area_hectares
"2002","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","5503064.16245905"
"2002","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","1670991.93070444"
"2002","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","697923.018706593"
"2002","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","2667886.49611622"
"2002","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","872730.712588894"
"2002","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","2105414.66823549"
"2003","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","3615809.32693721"
"2003","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","63722.3608235658"
"2003","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","65977.0595294607"
"2003","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","264495.030705831"
"2003","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","10.8"
"2003","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","48.3956470588235"
"2003","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","346070.12470622"
"2003","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","2142750.77788056"
"2003","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","293801.656588308"
"2003","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","88344.964588246"
"2003","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","265778.353058997"
"2003","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","9734025.13792889"
"2003","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","1045041.08999996"
"2003","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","8145626.54501281"
"2003","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","6609567.62887488"
"2003","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","3995777.02867771"
"2003","INDONESIA","ID","KEP. BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","269162.001529601"
"2003","INDONESIA","ID","KEP. RIAU","ID-21","SUMATERA","ID-SM","229046.264823695"
"2003","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","265371.968823757"
"2003","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","3084751.15410648"
"2003","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","2260540.6549414"
